"ticker","index","ticker-2","snp_growth_rate","stock_growth_rate","current_price","market_correlation","correlation_with_snp","outperform","five_yr_r2","delta"
"APLT","0","APLT","-12.982895486954737","4.121660034110297","36.63","1","0.871425922240188","1","0.6806976823451492","17.104555521065034"
"APPN","0","APPN","-12.982895486954737","5.33532784841686","42.25","1","0.8952084040987002","1","0.6642658051214078","18.3182233353716"
"ARCE","0","ARCE","-12.982895486954737","7.5195933065028475","50.76","1","0.8306115400696635","1","0.7711021172692603","20.502488793457584"
"ARGNF","0","ARGNF","-12.982895486954737","647.8761904761905","149.2013","1","0.7024571547215913","1","0.8199002541004485","660.8590859631452"
"ARNA","0","ARNA","-12.982895486954737","3.6415176624509327","47.53","1","0.6458806678915038","1","0.8457802041219196","16.62441314940567"
"ARVN","0","ARVN","-12.982895486954737","15.587638168283346","51.24","1","0.7654587224307625","1","0.7332372092947596","28.570533655238084"
"ARYA","0","ARYA","-12.982895486954737","1.7038950226586858","10.75","1","0.8209480366094271","1","0.8077753920740275","14.686790509613424"
"ASGTF","0","ASGTF","-12.982895486954737","5.342327150084336","31.234","0","0.27990047860014156","1","0.5424477460802352","18.325222637039072"
"ATCN","0","ATCN","-12.982895486954737","22.32415902140672","12","0","-0.18388765478831595","1","0.878228522856173","35.30705450836146"
"ATEX","0","ATEX","-12.982895486954737","12.053959965187122","51.5","1","0.6106901096371727","1","0.5516518914636526","25.036855452141857"
"ATRC","0","ATRC","-12.982895486954737","33.37415799142684","43.56","1","0.7156628138596824","1","0.5893298604442333","46.35705347838158"
"AUCOY","0","AUCOY","-12.982895486954737","28.81464824927724","20.05","0","0.07214173576638128","1","0.6759936579283616","41.79754373623198"
"AUDC","0","AUDC","-12.982895486954737","22.811150372987843","31.28","0","0.4306690967289674","1","0.8037771221661839","35.79404585994258"
"AUDVF","0","AUDVF","-12.982895486954737","21.496253856324365","1102.7","0","-0.6815832737915047","1","0.5354871170932904","34.479149343279104"
"AVLR","0","AVLR","-12.982895486954737","7.401996591185789","88.22","1","0.8442299669541211","1","0.7322216715259167","20.384892078140524"
"AVNBF","0","AVNBF","-12.982895486954737","41.428571428571416","34.65","0","-0.08767126191032099","1","0.6287547796449973","54.411466915526155"
"AZN","0","AZN","-12.982895486954737","3.8238238238238242","51.86","1","0.774037567616982","1","0.7295086113277159","16.80671931077856"
"AZNCF","0","AZNCF","-12.982895486954737","5.065195586760285","104.75","1","0.7651004892288292","1","0.6882702277590091","18.04809107371502"
"BAND","0","BAND","-12.982895486954737","31.709477413640407","89.22","0","0.3556563658227214","1","0.7348183935762896","44.692372900595146"
"BAR","0","BAR","-12.982895486954737","9.073359073359066","16.95","0","-0.14212298784588884","1","0.7463604846807734","22.056254560313803"
"BAX","0","BAX","-12.982895486954737","1.2798339674852999","87.84","1","0.7932613290162701","1","0.9418936042423021","14.262729454440038"
"BCNAF","0","BCNAF","-12.982895486954737","6.068814055636884","144.89","1","0.8823380061290116","1","0.609411841895451","19.05170954259162"
"BCNAY","0","BCNAY","-12.982895486954737","7.870370370370372","23.3","1","0.9012942596465832","1","0.5961132424874346","20.85326585732511"
"BDUUY","0","BDUUY","-12.982895486954737","19.913599380085234","30.9497","1","0.7918704907495729","1","0.5058914687904383","32.89649486703997"
"BGS","0","BGS","-12.982895486954737","18.958207147183526","19.64","0","-0.4496221280072524","1","0.6627509000117494","31.94110263413826"
"BILI","0","BILI","-12.982895486954737","5.4530201342281925","25.14","0","0.13459123136277357","1","0.5276629554241733","18.43591562118293"
"BIO","0","BIO","-12.982895486954737","13.096204719872183","431.79","0","0.3133453452093205","1","0.9253600566614082","26.079100206826922"
"BIOQ","0","BIOQ","-12.982895486954737","62.25806451612903","75.45","0","-0.4852154271688012","1","0.6939999940137678","75.24096000308377"
"BITGF","0","BITGF","-12.982895486954737","56.50406504065042","11.55","1","0.8283220985197618","1","0.5779468740625331","69.48696052760515"
"BKI","0","BKI","-12.982895486954737","8.024786986831934","69.73","1","0.7657643818305448","1","0.8997148850041076","21.007682473786673"
"BL","0","BL","-12.982895486954737","8.37420526793824","59.66","1","0.8076393555286154","1","0.8263430288875762","21.357100754892976"
"BNTX","0","BNTX","-12.982895486954737","0.022172949002219333","45.11","0","-0.7048898038613586","1","0.6709634088460414","13.005068435956957"
